dmv	簟
yigu	摇唇鼓舌
yiml	寅吃卯粮
yiuj	言传身教
yivu	遗嘱
yiwh	遗忘
yixd	羊肠小道
yiyc	阴差阳错
yiyy	越扯越远
yjbm	一击毙命
yjdd	一家独大
yjdk	油尽灯枯
yjhx	衣锦还乡
yjih	演唱
yjjb	严谨
yjjk	眼镜
yjjl	义结金兰
yjke	严苛
yjlv	冤家路窄
yjrj	俨然
yjuf	延伸
yjui	掩饰
yjuu	也就是说
yjvg	炎症
yjvi	一技之长
yjvs	一己之私
yjvu	远见卓识
yjwu	厌恶
yjxy	以儆效尤
yjyc	言尽于此
yjyg	咬紧牙关
ykny	有口难言
ykue	影射
ykwy	哑口无言
ylwh	有利无害
ylyj	由来已久
ymgd	榆木疙瘩
ymyy	有模有样
yqru	以其人之道，还治其人之身
yqyl	于情于理
yqyq	阴晴圆缺
yqyu	有权有势
yrby	疑人不用
yrdd	一人得道
yrjr	一荣俱荣
yrjx	冤家
yrqi	怨气
yrqr	源泉
yrvu	跃然纸上
yrwf	一日为师，终生为父
yrwh	冤枉
yrwu	阅人无数
yrxm	音容笑貌
yryz	缘由
yrzd	一人做事一人当
ysbg	一丝不挂
yslj	伊斯兰教
ytbw	摇头摆尾
ythn	油头滑脑
ytyl	有条有理
ytyr	怨天尤人
yubk	一声不吭
yufa	愈发
yufh	有伤风化
yufu	迂腐
yugh	浴缸
yugj	与世隔绝
yuid	引蛇出洞
yuji	雨季
yujk	远水解不了近渴
yujl	一石激起千层浪
yulu	雨露
yull	衣衫褴褛
yuqi	预期
yuth	移山填海
yuud	一身是胆
yuuu	一试身手
yuvi	预制
yuvu	有识之士
yuwy	衣食无忧
yuxx	以身相许
yuyb	摇身一变
yuyi	寓意
yuyj	预言
yuyl	有生以来
yuyr	以势压人
yuys	有声有色
yuyt	愉悦
yuyu	阴盛阳衰
yuyx	有说有笑
yuyy	莺声燕语
yuzd	怨声载道
yuzj	咬舌自尽
yvgx	一争高下
yvyl	言之有理
yvyv	以战养战
yvyw	言之有物
ywui	意味深长
ywwq	余味无穷
ywxu	言为心声
yxbd	一星半点
yxbi	英雄不问出处
yxby	一心不能二用
yxuj	一线生机
yxys	欲仙欲死
yxyy	言笑晏晏
yybd	以怨报德
yybf	一夜暴富
yybj	油盐不进
yybl	怏怏不乐
yybu	有眼不识泰山
yydc	抑扬顿挫
yyeu	一拥而上
yyfu	因噎废食
yyhh	晕晕乎乎
yyhy	以眼还眼
yyii	晕晕沉沉
yyir	异于常人
yyjr	一语惊醒梦中人
yylm	阴雨连绵
yymm	烟雨蒙蒙
yynj	一言难尽
yyqh	有缘千里来相会
yyqi	咬牙切齿
yyss	洋洋洒洒
yyvy	应有之义
yywj	引以为戒
yyxb	依依惜别
yyxr	炎炎夏日
yyxy	牙牙学语
yyyu	跃跃欲试
yyyv	摇摇欲坠
yyyx	一言一行
yyyy	犹犹豫豫
yzdm	优点
yzgl	以资鼓励
yziz	忧愁
yzjm	右键
yzli	有理
yzlv	一走了之
yzvi	优质
yzwj	有增无减
yzxm	优先
yzys	游泳
yzyu	犹豫
zadc	匝道
zijx	自驾
zise	姿色
ziua	紫砂
ziyr	自愿
ziyj	自成一家
ziyt	自成一体
zoui	坐实
zulj	坐失良机
zuyi	足矣
zygl	载誉归来
zyzy	自怨自艾
anku	啱
wokk	喎
hdmx	閪
aift	捱
bjmy	粄
bkfb	抦
baub	㞎
bgfu	揼
bgf	揼
biub	屄
bokt	噃
diku	啲
diky	哋
dirp	俤
dkfr	掟
dkf	掟
dzku	唞
eiyu	诶
enbd	奀
ffoi	瞓
gekv	嘅
gjkg	咁
gvul	攰
gxkb	啩
gocg	菓
goc	菓
gakm	㗎
hdkt	嚡
hlub	磺
hlu	磺
ieki	唓
iek	唓
kjbe	冚
kjb	冚
lbbm	冧
lbml	粦
liku	嚟
ljzj	躝
ljz	躝
lkvv	〇
doky	喥
loff	攞
mbpx	慜
mcuk	冇
mcu	冇
mgfm	擝
mpfm	搣
mpfh	搣
mwkm	槑
nmkx	唸
nmk	唸
naku	嗱
ncnn	嫐
ncn	嫐
jmkz	囝
nlny	嬢
nmfh	撚
nmxx	惗
nntl	嬲
nnt	嬲
pkkp	呯
pkk	呯
qiah	炁
qbih	螓
qbi	螓
qkfb	靘
qkfe	郬
qquq	㞗
qqu	㞗
qurj	佢
qur	佢
rroe	朊
royy	叒
roy	叒
sdkr	嘥
sdkx	嗮
ssu	𪨊
ssur	㞞
thxd	㓥
ticf	薙
uiov	昰
vekh	嗻
wffm	揾
wff	揾
xial	卌
xikx	喺
xirx	係
yekl	嘢
yeky	吔
zokg	咗
jsk	囧
jskv	囧
nmax	鲶
gzcs	芶
xnkt	咲
tmht	畑
tapy	祂
jnvx	筊
izsy	䌷
kuti	堀
zedi	沢
ykmn	桜
vchk	炤
glgs	広
vijv	凪
cjkl	喰
yrka	円
yuzr	込
nayx	雫
uibn	実
mwud	躾
ybkh	烎
gugf	巭
tmwb	兲
hcnx	恏
niur	氼
blzx	𰻝
aoqd	鿫
tmut	鿬
gejk	鿔
moxx	尛
mox	尛
lstl	垅
yemt	埜
soxx	惢
rvxx	惢
tjrx	怹
ujyy	羴
bnqq	猋
qsgr	跫
jmwk	瑊
lew	玏
lewl	玏
hzqv	犼
vkzy	跩
ninx	妳
xroo	昍
yiow	晹
djnv	妉
djn	妉
yjwk	琂
xrbx	翧
mucm	莯
ifc	莀
ifcn	莀
yacf	蕥
ugoy	琞
xnnj	婋
qkou	暒
gzwk	玽
cugb	麤
ughu	焺
rjwr	珃
wwht	烓
ugdu	湦
xikg	嚱
phoz	膖
gaor	朒
anfo	揞
npcx	苶
aota	垇
leuu	砳
ggtj	畊
hxnl	嬅
jkjd	丼
djjd	丼
gjgg	骭
bkrr	仌
rofn	挼
rxfn	挼
rof	挼
rxf	挼
vzfk	㨄
vzf	㨄
lnlw	敹
lnl	敹
karb	佧
siee	亖
lhoo	朤
uldo	灀
hunk	嫮
lacl	菈
xbmx	杺
xbm	枔
xbmv	枔
ancn	荌
anc	荌
xbnj	妡
henh	姀
midx	沵
jtng	妜
jtn	妜
ytng	妜
ytn	妜
fgjs	凨
fgjo	凬
pjov	盻
xiov	盻
dvf	㨃
dvfz	㨃
geml	槅
nijx	鿭
izpk	裯
qumf	欋
ddy	甙
ddyg	甙
keik	蚵
bnap	髟
jkdl	瀞
lqwt	瑠
rico	䒤
rgpn	礽
pah	𤆵
pahb	𤆵
lckb	咾
ujfx	搧
kyeb	崑
kye	崑
bngh	麃
pcgh	麃
rfex	忈
mgdu	濛
mgdn	濛
jmua	硷
tyru	氽
tyr	氽
ainu	娭
jpmy	毑
gokk	嗰
ppdw	潎
cdkm	啋
jnkn	嘦
zivn	姕
iihd	黐
mzzk	踎
mide	渳
cymr	膥
jkdx	澋
kkff	㨤
waf	搲
wafg	搲
yikn	嫛
hmkr	噷
csdr	潀
zsdr	潀
pwmk	毰
sdmx	毸
xyic	蟳
ihio	䗉
yzmy	楢
lgow	睖
jiav	旡
bcpv	勹
manm	嫲
siyx	糸
jpar	疌
pjf	拚
pjfc	拚
pbfc	拚
kuzk	跍
ancd	菴
topq	乇
bmpm	釆
deoc	㝵
baud	犮
qial	丌
cykc	吋
fuat	畐
golk	咼
lndx	尞
gzar	冓
ispi	䖝
igln	氶
vgln	氶
wfom	昷
lutt	坴
fual	巿
mhwk	吂
wjxv	夗
diwk	啇
hufx	㧾
jrjl	劵
qinb	娸
mjnr	㒼
bfdu	夲
jlaa	畺
cspd	囪
ncre	㑎
pzlk	咅
qqmq	毬
ycpf	䍃
yhow	昜
qysw	夋
lktw	夌
hocy	蒦
biob	肶
yrko	肙
lwtt	畾
lwss	厽
sfmp	椮
sfm	椮
gxxi	颪
yiza	辷
lcib	蛯
yity	畩
phgf	髈
bhgf	髈
tazd	遝
iiki	呎
luou	睩
tncu	斢
iuan	豖
izfp	搊
yeum	枼
zckm	喿
hemq	籺
ufmx	棯
njkz	囝
yyrs	伝
ytad	戉
ytg	戉
gsus	厷
tany	牠
jtkv	啳
xrfa	揎
rzjs	厹
gcdl	夰
katx	垰
qkdo	凊
qxzy	䠍
ankn	咹
wupy	禑
lkhs	炩
whsd	罖
jird	亽
wjvl	卍
wjva	卐
xbho	馫
xmaa	鱻
qiyn	霋
cvom	膬
bjzb	跘
pjzb	跘
baek	峇
kamm	㮟
fjnu	嬎
sovx	㱔
yysr	贠
xsbb	匂
ufsm	罧
yady	冴
hxmb	糀
jxrx	価
yaqy	犽
vahm	煠
dnu	屌
ccr	肏
vdv	砦
pbm	榀
pww	珮
ugw	珄
suw	玊
